country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Chad,2010,11227208,2675330,173,2,761,0.23828987580883867,6.634634671921269,5.153297374827893,Africa
Chile,2000,15419820,3401525,11,17,4878,0.2205943389741255,8.492490783777894,2.3979861777572986,The Americas
Chile,2010,17113688,19852242,9,45,12640,1.160021264849517,9.44462174681477,2.1973356822749484,The Americas
China,2000,1262645000,85260000,33,2,949,0.06752491793021792,6.855409852350152,3.4965378640376557,Asia
China,2010,1337825000,859003000,18,34,4433,0.6420892119671855,8.396832060325899,2.8904273119085677,Asia
Colombia,2000,39764166,2256801,27,2,2524,0.05675464185518187,7.833600619857539,3.295873902355512,The Americas
Colombia,2010,46294841,44477653,22,37,6238,0.9607475053213813,8.738415057475526,3.0910879068707438,The Americas
Comoros,2000,562469,0,104,0,359,0.0,5.88332517399972,4.64440051447976,Africa
Comoros,2010,734750,165278,86,5,736,0.22494453895882954,6.601231477423605,4.454358924092881,Africa
Costa Rica,2000,3919180,211614,13,6,4069,0.05399445802438265,8.31115279376229,2.5650262775800314,The Americas
Costa Rica,2010,4658887,3035007,10,37,7774,0.65144464761648,8.958540240046068,2.3026850879943788,The Americas
Cote d'Ivoire,2000,16581653,472952,148,0,628,0.028522608692872778,6.4425417588236185,4.997219030498045,Africa
Cote d'Ivoire,2010,19737800,15026810,123,3,1161,0.7613214238668949,7.057037843023963,4.8121924854206695,Africa
Croatia,2000,4426000,1033000,8,7,4862,0.23339358337098962,8.489205360552724,2.079566533867987,Europe
Croatia,2010,4418000,6362106,6,60,13774,1.4400421004979629,9.530538108705192,1.7919261220073759,Europe
Cuba,2000,11104313,6536,9,1,2753,0.0005886001232133857,7.920446868382643,2.1973356822749484,The Americas
Cyprus,2000,943294,218324,7,15,13422,0.23144851976160136,9.504650505222727,1.9460529959950605,Europe
Cyprus,2010,1103647,1034071,4,53,28779,0.9369581034515565,10.267401268233616,1.3865443298750981,Europe
Czech Republic,2000,10272322,4346009,7,10,5725,0.4230795140572891,8.652598003094914,1.9460529959950605,Europe
Czech Republic,2010,10519792,14392964,4,69,18789,1.368179522941138,9.841026924416152,1.3865443298750981,Europe
Denmark,2000,5339616,3363552,6,39,29980,0.6299239495873861,10.308285805012158,1.7919261220073759,Europe
Denmark,2010,5547683,6922468,4,89,56278,1.2478124651318396,10.938058991763118,1.3865443298750981,Europe
Djibouti,2000,731930,230,106,0,753,0.00031423770032653394,6.62406655582026,4.663448528029832,Africa
Dominica,2000,69672,1200,15,9,4718,0.01722356183258698,8.459140471921815,2.7081168655467533,The Americas
Dominica,2010,67757,105567,12,47,6964,1.5580235252446242,8.848509444483705,2.4849899796493045,The Americas
Dominican Republic,2000,8591967,705431,41,4,2793,0.08210355090982077,7.9348719239830645,3.713596456650773,The Americas
Dominican Republic,2010,9927320,8892783,27,40,5195,0.8957888936792608,8.555452096026091,3.295873902355512,The Americas
